Method,Fleet,HighPriority,S1_Mild_65pct,S2_Moderate_40pct,S3_Crisis_15pct
KATS,4984,136,1.0000,1.0000,1.0000
B4-LGB,4984,136,1.0000,1.0000,1.0000
B3-RF,4984,136,1.0000,1.0000,1.0000
B1-LogReg,4984,136,1.0000,1.0000,1.0000
Random,4984,136,0.6838,0.3971,0.1765
