Method,Fleet,HighPriority,S1_Mild_65pct,S2_Moderate_40pct,S3_Crisis_15pct
KATS,4984,136,1.0000,1.0000,1.0000
LightGBM,4984,136,1.0000,1.0000,1.0000
RF,4984,136,1.0000,1.0000,1.0000
LogReg,4984,136,1.0000,1.0000,1.0000
Random,4984,136,0.6912,0.4706,0.1838
