dataset,model,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,F1H_mean,F1H_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd,Brier_mean,Brier_sd,ECE_mean,ECE_sd,PRAUC_High_mean,PRAUC_High_sd,FP_High_mean,FP_High_sd,FN_High_mean,FN_High_sd
CICIDS2017,BalancedRF,0.9900709219858156,0.0028324800304949,0.986642681918936,0.0026170289482368,0.98835017054924,0.0017084683331415,0.9928383482643912,0.0003823813094617,0.9878723917261696,0.0012412132916963,0.0029040364756944,0.0001018099441415,0.0103736527777777,0.0005671543032236,0.9991314507300932,0.0003440117932579,20.8,4.147288270665544,15.4,4.39317652729776
CICIDS2017,KATS,0.9343649258542877,0.0037149865353676,0.2696195212566858,0.007000460113624,0.4184379103836293,0.0082796499849375,0.5411401741337531,0.0094868595774094,0.286496249471869,0.0108389231864764,0.1416459401852009,0.0030678698211478,0.2436202543222258,0.0099376470868515,0.8788496201248049,0.0098890379452536,3928.8,144.21581050633802,101.8,5.761944116355173
CICIDS2017,LightGBM,0.9979368149580916,0.0020080479048868,0.9933272107563036,0.0013201500180636,0.995625432223576,0.0011530038928839,0.995787371561216,0.0010951994044165,0.9944523658399465,0.0011205604969355,0.0008920003213655,0.0001695344370492,0.0009640776575079,0.0002064156981416,0.9998252960187,9.096413962108607e-05,10.4,2.073644135332772,3.2,3.1144823004794877
CICIDS2017,LogReg,0.968536428110896,0.0047247120465664,0.7203684876484078,0.0097296642812203,0.8261918752086391,0.0071037607339241,0.8488160384995791,0.0028003088729049,0.7780690257635129,0.0058835947506745,0.0340607411653337,0.0006487167508177,0.0491701085375755,0.0015595544160785,0.9657780933889012,0.0035109549589307,583.4,27.93385043276348,48.8,7.328028384224504
CICIDS2017,MLP,0.9591231463571888,0.0162764677273049,0.9815079952453178,0.0076572920425845,0.9700870168560248,0.0067737294936522,0.9659787444086372,0.0228252138085146,0.9559157647242896,0.0202683170822505,0.0067385304590811,0.0028879691494503,0.0043809912245608,0.0014090616030483,0.9946489149126644,0.0023105849314764,28.2,12.255610959882825,63.4,25.244801445050022
CICIDS2017,NaiveBayes,0.0,0.0,0.0,0.0,0.0,0.0,0.3026000424744395,0.0,0.0,0.0,0.0667830144896903,0.0004718672803554,0.0264239557939441,0.0014063865768135,0.6270304537849943,0.0088150385489053,0.0,0.0,1551.0,0.0
CICIDS2017,RandomForest,0.9889103803997422,0.0026739447264123,0.9966212565459877,0.0014089814016339,0.9927497546659328,0.0018002232855245,0.9937890736775316,0.0004486417004924,0.9912084344425064,0.001072354302119,0.0013692622574974,0.0001521595902445,0.0017473391142556,0.0003443871791652,0.9996528872678588,0.0001741967118326,5.2,2.16794833886788,17.2,4.147288270665544
CICIDS2017,XGBoost,0.9961315280464216,0.0013677113756026,0.9960060454865668,0.001658102582509,0.9960674844984532,0.0008335093562748,0.9963273329302372,0.0009172426806795,0.9951331656274418,0.0008353641531017,0.0007816717575909,0.0001098256577335,0.0006003405186837,0.000132890646364,0.9998614713264304,7.938242503813333e-05,6.2,2.588435821108957,6.0,2.1213203435596424
GoogleCluster,BalancedRF,0.9991774891774892,0.0001810952438385,0.9984860467038278,0.0005065335960639,0.99883161838349,0.0003278844854061,0.9991115496972534,0.0002657563152621,0.9986003103373444,0.0003930268194238,0.0007582233333333,9.762459468624864e-05,0.0032357777777777,6.540041671251912e-05,0.9999925044068672,4.137015443154201e-06,7.0,2.345207879911715,3.8,0.8366600265340756
GoogleCluster,KATS,0.9993506493506492,0.000265096292509,0.9986590290165548,0.0003548442143953,0.999004684902894,0.0002344462310562,0.9992238492852866,0.00017926458765,0.9988076318531296,0.0002809399353982,0.0004169075131545,0.0001058599425298,0.000566013630713,7.766720002606535e-05,0.9999783920047924,2.709835919425769e-05,6.2,1.6431676725154984,3.0,1.224744871391589
GoogleCluster,LightGBM,0.9991774891774892,0.0003871979181817,0.9986588136672528,0.0002814018487595,0.9989180158156796,0.0001712155989031,0.9991605075300132,0.0001819866576714,0.9986780116453172,0.0002492862840615,0.000483222381357,9.660702663092903e-05,0.0004474422998496,9.911779809877978e-05,0.9999640680655052,2.305644203052557e-05,6.2,1.30384048104053,3.8,1.7888543819998317
GoogleCluster,LogReg,0.913852813852814,0.0076327479145045,0.906558644423034,0.0054455472709552,0.9101626908180794,0.0033702986728816,0.9144904083834112,0.0037498509969252,0.8774454303282603,0.005172759205895,0.0414262458924601,0.0014684115949341,0.0297918296010508,0.0015949754411914,0.9680193307231398,0.0014329928388192,435.4,29.787581304966675,398.0,35.263295365010904
GoogleCluster,MLP,0.9952380952380953,0.0017783199918999,0.9955002211538392,0.0019312862771139,0.9953674791385838,0.0011749522345717,0.9960517588840858,0.0012817597403487,0.99398635673828,0.00166229435726,0.002395366635909,0.0007380054934897,0.0020844586287768,0.0006735984047125,0.999382880439836,0.0002363334940962,20.8,8.983317872590282,22.0,8.215838362577491
GoogleCluster,NaiveBayes,0.8349350649350649,0.0031686123454831,0.9197859283686,0.0114281983043314,0.8752710914043119,0.0045305645090457,0.8618148920077624,0.0062629119628053,0.8075719816067529,0.0087368514340805,0.0625658918732355,0.001761263202056,0.0262785323628386,0.0018586314323344,0.9247395562641864,0.0036508944542111,337.0,52.69250421075089,762.6,14.638989036132257
GoogleCluster,RandomForest,0.9994372294372292,0.0001185546661266,0.9988753198943346,0.000492405016133,0.9991561274401596,0.0002078295867439,0.9993611919785376,0.0001729675794523,0.9989890616442588,0.0002492963605232,0.0005571388888888,6.622528606703406e-05,0.0023132777777777,0.0001183589891332,0.999995363101626,2.477844519866603e-06,5.2,2.280350850198276,2.6,0.5477225575051662
