seed,model,train_n,test_n,q33,q66,dataset_ir,RecallH,PrecH,F1H,MacroF1,Kappa
7,KATS,48000,12000,103.0,200.0,2.5178836174944403,1.0,0.999536822603057,0.9997683576557794,0.9989946377803965,0.9981412935329108
7,LightGBM,48000,12000,103.0,200.0,2.5178836174944403,1.0,1.0,1.0,0.9989042550089842,0.9978756870188611
7,RandomForest,48000,12000,103.0,200.0,2.5178836174944403,0.9986098239110287,1.0,0.9993044284720612,0.9989014553478944,0.9981410239379573
13,KATS,48000,12000,103.0,200.0,2.5178836174944403,0.9990732159406858,0.9972247918593895,0.9981481481481481,0.9982579107850534,0.997344812652304
13,LightGBM,48000,12000,103.0,200.0,2.5178836174944403,0.9990732159406858,0.998610467809171,0.9988417882788974,0.998328911175733,0.9972118451660172
13,RandomForest,48000,12000,103.0,200.0,2.5178836174944403,0.9986098239110287,0.999072786277237,0.9988412514484357,0.9983970898359483,0.9973442708358634
42,KATS,48000,12000,103.0,200.0,2.5178836174944403,0.9981464318813716,0.9986091794158554,0.99837775202781,0.9982358335509843,0.9972117698320865
42,LightGBM,48000,12000,103.0,200.0,2.5178836174944403,0.9981464318813716,0.9995359628770302,0.998840714120102,0.9983974312384084,0.9973443803275811
42,RandomForest,48000,12000,103.0,200.0,2.5178836174944403,0.9976830398517146,1.0,0.9988401762932034,0.9986026203017869,0.9977424825249058
