model,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd
KATS,0.9794405097278457,0.011454302280376983,0.97057659844377,0.01272458760271491,0.9717389941647183,0.016525203691227078,0.9602188678198985,0.01986266780837449
LightGBM,0.9816143937445322,0.011163882416316937,0.9699386063451478,0.012223183271509902,0.9726084358717291,0.016853151555283028,0.9610992934767535,0.020653229291173143
RandomForest,0.9200285652719863,0.07657672374202516,0.9633781454019755,0.011802152864194244,0.9420730767250983,0.033798610535518483,0.9160520216702596,0.05510962083792959
