dataset,seed,model,true_class,predicted_class,count
GoogleCluster,7,BalancedRF,Medium,Low,0
GoogleCluster,7,BalancedRF,Medium,Medium,4871
GoogleCluster,7,MLP,High,High,4610
GoogleCluster,7,MLP,High,Low,6
GoogleCluster,7,MLP,High,Medium,4
GoogleCluster,7,MLP,Low,High,5
GoogleCluster,7,MLP,Low,Low,2494
GoogleCluster,7,MLP,Low,Medium,0
GoogleCluster,7,MLP,Medium,High,16
GoogleCluster,7,MLP,Medium,Low,1
GoogleCluster,7,MLP,Medium,Medium,4864
GoogleCluster,7,LogReg,High,High,4180
GoogleCluster,7,LogReg,High,Low,427
GoogleCluster,7,LogReg,High,Medium,13
GoogleCluster,7,LogReg,Low,High,135
GoogleCluster,7,LogReg,Low,Low,2351
GoogleCluster,7,LogReg,Low,Medium,13
GoogleCluster,7,LogReg,Medium,High,304
GoogleCluster,7,LogReg,Medium,Low,126
GoogleCluster,7,LogReg,Medium,Medium,4451
GoogleCluster,7,NaiveBayes,High,High,3835
GoogleCluster,7,NaiveBayes,High,Low,686
GoogleCluster,7,NaiveBayes,High,Medium,99
GoogleCluster,7,NaiveBayes,Low,High,179
GoogleCluster,7,NaiveBayes,Low,Low,2289
GoogleCluster,7,NaiveBayes,Low,Medium,31
GoogleCluster,7,NaiveBayes,Medium,High,134
GoogleCluster,7,NaiveBayes,Medium,Low,430
GoogleCluster,7,NaiveBayes,Medium,Medium,4317
GoogleCluster,13,KATS,High,High,4616
GoogleCluster,13,KATS,High,Low,3
GoogleCluster,13,KATS,High,Medium,1
GoogleCluster,13,KATS,Low,High,3
GoogleCluster,13,KATS,Low,Low,2496
GoogleCluster,13,KATS,Low,Medium,0
GoogleCluster,13,KATS,Medium,High,2
GoogleCluster,13,KATS,Medium,Low,0
GoogleCluster,13,KATS,Medium,Medium,4879
GoogleCluster,13,LightGBM,High,High,4613
GoogleCluster,13,LightGBM,High,Low,3
GoogleCluster,13,LightGBM,High,Medium,4
GoogleCluster,13,LightGBM,Low,High,2
GoogleCluster,13,LightGBM,Low,Low,2496
GoogleCluster,13,LightGBM,Low,Medium,1
GoogleCluster,13,LightGBM,Medium,High,3
GoogleCluster,13,LightGBM,Medium,Low,0
GoogleCluster,13,LightGBM,Medium,Medium,4878
GoogleCluster,13,XGBoost,High,High,4613
GoogleCluster,13,XGBoost,High,Low,4
GoogleCluster,13,XGBoost,High,Medium,3
GoogleCluster,13,XGBoost,Low,High,0
GoogleCluster,13,XGBoost,Low,Low,2497
GoogleCluster,13,XGBoost,Low,Medium,2
GoogleCluster,13,XGBoost,Medium,High,6
GoogleCluster,13,XGBoost,Medium,Low,0
GoogleCluster,13,XGBoost,Medium,Medium,4875
GoogleCluster,13,RandomForest,High,High,4617
GoogleCluster,13,RandomForest,High,Low,3
GoogleCluster,13,RandomForest,High,Medium,0
GoogleCluster,13,RandomForest,Low,High,2
GoogleCluster,13,RandomForest,Low,Low,2497
GoogleCluster,13,RandomForest,Low,Medium,0
GoogleCluster,13,RandomForest,Medium,High,2
GoogleCluster,13,RandomForest,Medium,Low,0
GoogleCluster,13,RandomForest,Medium,Medium,4879
