dataset,seed,model,target_recall,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
CICIDS2017,7,KATS,0.9,0.6800000000000002,0.9342359767891683,0.26848249027237353,0.4170984455958549,0.542923578065701,0.2862922572959271,0.13901449084551865,0.24267857568858764,0.8883093100101918,3948,102
CICIDS2017,7,LightGBM,0.9,0.9200000000000003,1.0,0.9942307692307693,0.9971070395371263,0.9956333071809474,0.9951463700153399,0.0008822254251770746,0.001123231744265682,0.9999574913134146,9,0
CICIDS2017,7,LogReg,0.9,0.6900000000000002,0.9729206963249516,0.7282818532818532,0.8330113165884626,0.8489940293014978,0.7810341004944406,0.034377562298479415,0.05090747545323606,0.9706028934102469,563,42
CICIDS2017,7,XGBoost,0.9,0.9500000000000002,0.9974210186976145,0.9967783505154639,0.9970995810505962,0.9956309283713991,0.9951385760803549,0.0007656983652930405,0.0007885504567618915,0.9999665040108409,5,4
CICIDS2017,13,KATS,0.9,0.7300000000000002,0.9393939393939394,0.2628066378066378,0.4107117688513037,0.5283604049944672,0.2739584314335449,0.1416700665239555,0.24520033177161907,0.883218214230452,4087,94
CICIDS2017,13,LightGBM,0.9,0.9200000000000003,0.9974210186976145,0.9942159383033419,0.99581589958159,0.9962202878847252,0.9948509162663393,0.0008878531229640044,0.0009020252143559939,0.9997784792883222,9,4
CICIDS2017,13,LogReg,0.9,0.7600000000000002,0.9632495164410058,0.7203471552555448,0.8242758620689655,0.8493234339016569,0.7784345824719722,0.03327387229815389,0.04830003549325304,0.9658733693817935,580,57
CICIDS2017,13,XGBoost,0.9,0.9400000000000002,0.9961315280464217,0.9954896907216495,0.9958105059619723,0.9962185470025725,0.994846777395265,0.000922246823817788,0.0004998711140910334,0.9997504622262133,7,6
CICIDS2017,42,KATS,0.9,0.8000000000000002,0.9323017408123792,0.2766405203749761,0.42667453526113897,0.5504337003705873,0.298166635058713,0.1367668467983987,0.23237404314117405,0.872258716517105,3781,105
CICIDS2017,42,LightGBM,0.9,0.8600000000000002,0.9961315280464217,0.9929305912596401,0.994528484068233,0.9946538541309503,0.993133000054936,0.0010759308228516392,0.0010561859189386572,0.9998678975756115,11,6
CICIDS2017,42,LogReg,0.9,0.7200000000000002,0.9638942617666022,0.7204819277108434,0.8246001103143961,0.8505244555573249,0.7786506221955394,0.03345527962817716,0.04713500849590927,0.9659389112834347,580,56
CICIDS2017,42,XGBoost,0.9,0.9500000000000002,0.9941972920696325,0.9961240310077519,0.995159728944821,0.9952679796357051,0.9939830705093166,0.0008586053081334248,0.0005481421088708091,0.999840433726632,6,9
CICIDS2017,99,KATS,0.9,0.7700000000000002,0.9297227595099935,0.26788036410923277,0.4159215460051918,0.5385021488137401,0.28342444358530194,0.14145736188375968,0.24073874477830506,0.8802540734872343,3941,109
CICIDS2017,99,LightGBM,0.9,0.8400000000000002,0.996776273372018,0.9948519948519948,0.9958132045088567,0.9965844448883642,0.9951339204719448,0.0007130301384789649,0.0006990236275330881,0.9997584725791859,8,5
CICIDS2017,99,LogReg,0.9,0.7600000000000002,0.9729206963249516,0.7282818532818532,0.8330113165884626,0.851175395608163,0.7839087578699271,0.0346955825596468,0.05050562694969696,0.9657955598695709,563,42
CICIDS2017,99,XGBoost,0.9,0.8700000000000002,0.9954867827208252,0.9980607627666451,0.9967721110393802,0.9973229755359042,0.9962744848735011,0.0006492560227423259,0.0004782470761015726,0.9998521317440122,3,7
CICIDS2017,2026,KATS,0.9,0.7300000000000002,0.9342359767891683,0.26311966587978936,0.4105979030886937,0.5154013961037395,0.2672202529533503,0.14760306098380535,0.25694502562338456,0.8619442878514545,4058,102
CICIDS2017,2026,LightGBM,0.9,0.9500000000000002,1.0,0.9916879795396419,0.9958266452648475,0.9965851243825693,0.9951414803309262,0.000750717749112295,0.0010248519280438664,0.9998361200229092,13,0
CICIDS2017,2026,LogReg,0.9,0.7000000000000002,0.9696969696969697,0.7044496487119438,0.8160607704829083,0.8440628781292526,0.7683170657856856,0.0345014090422116,0.049002396295782395,0.9606797329994606,631,47
CICIDS2017,2026,XGBoost,0.9,0.9100000000000003,0.9974210186976145,0.993577392421323,0.9954954954954955,0.9971962341056058,0.9954229192787712,0.0007125522679681776,0.0006868918375936709,0.9998978249244538,10,4
ITIncident,7,KATS,0.9,0.6300000000000001,0.8970588235294118,0.042434782608695654,0.08103620059780804,0.22134048614786747,0.033871389118749984,0.29312606191090246,0.43736436097131315,0.15705829127271273,2753,14
ITIncident,7,LightGBM,0.9,0.13,0.875,0.06246719160104987,0.116609505144537,0.313403064759531,0.0739592862469427,0.15510543650561828,0.2490706807205673,0.19260871987690484,1786,17
ITIncident,7,LogReg,0.9,0.22000000000000003,0.9338235294117647,0.027948943661971832,0.054273504273504275,0.05197100938892305,0.0031750325618673525,0.2194445990567413,0.393976182775003,0.040861182546560654,4417,9
ITIncident,7,XGBoost,0.9,0.05,0.5735294117647058,0.1315345699831366,0.2139917695473251,0.45627085025452135,0.19730118268157748,0.03251151104439778,0.005738656203673094,0.23064203955352372,515,58
ITIncident,13,KATS,0.9,0.4800000000000001,0.9338235294117647,0.04108702685215141,0.07871087697551905,0.20746542782424723,0.03116848410833306,0.3097243307278031,0.4506270377630865,0.14565939425447097,2964,9
ITIncident,13,LightGBM,0.9,0.08000000000000002,0.9338235294117647,0.04930124223602485,0.09365781710914454,0.26922417632925205,0.05099753934891327,0.16750157305589639,0.2641327795658271,0.20039182661747643,2449,9
ITIncident,13,LogReg,0.9,0.22000000000000003,0.9338235294117647,0.027765631832094448,0.053927813163481955,0.048854367003278804,0.002383881901722229,0.2182937232300647,0.39360532990277264,0.043290404078956436,4447,9
ITIncident,13,XGBoost,0.9,0.05,0.5882352941176471,0.128,0.2102496714848883,0.4448050419565661,0.1804350052908995,0.03251526552071236,0.008118234296494263,0.26243457231702194,545,56
ITIncident,42,KATS,0.9,0.49000000000000005,0.9338235294117647,0.04501949663239986,0.08589786946229286,0.23753732950352982,0.04157241393270472,0.3065271759673213,0.4475520686256025,0.15256088386802186,2694,9
ITIncident,42,LightGBM,0.9,0.07,0.9264705882352942,0.05142857142857143,0.09744779582366589,0.2695889055886305,0.0531548864687601,0.1588371297919294,0.25190365748805643,0.25736176160770086,2324,10
ITIncident,42,LogReg,0.9,0.21000000000000002,0.9264705882352942,0.027439024390243903,0.0532994923857868,0.05573305232390156,0.0035862789455587407,0.21821477162347258,0.3934319710723268,0.04042782125172302,4466,10
ITIncident,42,XGBoost,0.9,0.05,0.6176470588235294,0.1346153846153846,0.22105263157894736,0.46250581902005544,0.19032201121668701,0.030989281214050212,0.0052581477527585815,0.3133803796780441,540,52
ITIncident,99,KATS,0.9,0.45000000000000007,0.9705882352941176,0.04306688417618271,0.08247422680412371,0.20964104140045006,0.03370424967867425,0.3113946766166932,0.45419138597403236,0.151757854195115,2933,4
