feature,type
scheduling_class,numeric
collection_type,numeric
instance_index,numeric
assigned_memory,numeric
page_cache_memory,numeric
cycles_per_instruction,numeric
memory_accesses_per_instruction,numeric
sample_rate,numeric
scheduler,numeric
vertical_scaling,numeric
reqcpus,numeric
reqmemory,numeric
avgcpus,numeric
avgmemory,numeric
maxcpus,numeric
maxmemory,numeric
failed,numeric
event_enc,numeric
