model,q33,q66,dataset_ir,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd
KATS,103.0,200.0,2.5178836174944403,0.9990732159406859,0.000926784059314234,0.9984569312927674,0.0011635102741934806,0.9984961273721448,0.0004318637764591374,0.9975659586724337,0.0005026755904785951
LightGBM,103.0,200.0,2.5178836174944403,0.9990732159406859,0.000926784059314234,0.999382143562067,0.0007074215246791273,0.9985435324743751,0.00031426789523957645,0.9974773041708197,0.00035131618589637756
RandomForest,103.0,200.0,2.5178836174944403,0.9983008958912573,0.000535079026125679,0.9996909287590791,0.0005353270924335642,0.9986337218285432,0.0002536170757955668,0.997742592432909,0.00039837656241792536
