train_fraction,model,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,F1H_mean,F1H_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd,Brier_mean,Brier_sd,ECE_mean,ECE_sd,PRAUC_High_mean,PRAUC_High_sd,FP_High_mean,FP_High_sd,FN_High_mean,FN_High_sd
0.6,KATS,0.9781021897810219,0.007299270072992706,0.03627295809135294,0.0016132853704666646,0.06994953279001843,0.0030193715715042453,0.15521711378308325,0.007579017031250708,0.016919498533344266,0.0024143373489785435,0.3119144692292715,0.0010873080285853322,0.4557078964469629,0.0009403301069866624,0.10302204267111974,0.00294580784620904,7128.666666666667,280.32897341040825,6.0,2.0
0.6,LightGBM,0.6313868613138686,0.0,0.0917771883289124,0.0,0.1602593793422881,0.0,0.3233865272851057,0.0,0.0451224651105035,0.0,0.1594247325986122,0.0,0.2485936695907038,0.0,0.1372010407197917,0.0,1712.0,0.0,101.0,0.0
0.6,LogReg,0.41605839416058393,0.0,0.0504424778761061,0.0,0.0899763220205209,0.0,0.3137308838549507,0.0,0.0244748631689469,0.0,0.1932450538439198,0.0,0.3681641366326969,0.0,0.0399396557401947,0.0,2146.0,0.0,160.0,0.0
0.7,KATS,0.9436392914653785,0.012157543374027018,0.042660433825311234,0.0025663163145165156,0.08161937858600436,0.004671290518815877,0.2220701084501053,0.009279279081219106,0.020441174212721833,0.004848385169311749,0.3010202171862919,0.0029537821218977417,0.44308080870807615,0.002932203314799279,0.10271464661823776,0.0008779353839088462,4396.666666666667,330.43960618142216,11.666666666666666,2.5166114784235836
0.7,LightGBM,0.6859903381642513,0.0,0.08523409363745489,0.0,0.1516284036305392,0.0,0.3740602339627967,0.0,0.1099441213044672,0.0,0.1635415883745065,0.0,0.2568914022780899,0.0,0.1606223290816214,0.0,1524.0,0.0,65.0,0.0
0.7,LogReg,0.4347826086956521,0.0,0.0501392757660167,0.0,0.0899100899100899,0.0,0.3097971943275909,0.0,0.0223535831372204,0.0,0.19832264320906842,0.0,0.37022936785579147,0.0,0.0408463785610835,0.0,1705.0,0.0,117.0,0.0
0.8,KATS,0.9637681159420289,0.014492753623188387,0.046104002521423194,0.0017953889484514788,0.08799420417535785,0.0032797696469432716,0.20919455636083126,0.010631290210107521,0.023140949272676268,0.0009438696499630321,0.30554575555943664,0.0017745822019808535,0.45071375731163793,0.0018092074203345165,0.1200618144056144,0.0023151422813418544,2754.6666666666665,118.59314201644777,5.0,2.0
0.8,LightGBM,0.7536231884057972,0.0,0.0868838763575605,0.0,0.1558052434456928,0.0,0.3374556826811492,0.0,0.0711062878135085,0.0,0.1681427412392811,0.0,0.2600918715460623,0.0,0.21684692297809724,0.0,1093.0,0.0,34.0,0.0
0.8,LogReg,0.3478260869565217,0.0,0.0409207161125319,0.0,0.0732265446224256,0.0,0.2740373315598449,0.0,0.015524336174402,0.0,0.2108118288067173,0.0,0.3879321059922973,0.0,0.042239416705187195,0.0,1125.0,0.0,90.0,0.0
0.9,KATS,0.9743589743589745,0.0,0.050710587697376026,0.0018188448575255655,0.09639994095516663,0.0032882247048240322,0.24538866042165006,0.003210416097375428,0.027372770889001433,0.0012675137073749371,0.30764655681831043,0.003283181872552808,0.44720940514957824,0.004453934661654848,0.12603339328306187,0.0018417825109531489,1424.0,54.3415126767741,2.0,0.0
0.9,LightGBM,0.7435897435897436,0.0,0.0852941176470588,0.0,0.1530343007915567,0.0,0.3374347589030097,0.0,0.0698025339754219,0.0,0.1782597424428768,0.0,0.2695371365096957,0.0,0.17398695412796386,0.0,622.0,0.0,20.0,0.0
0.9,LogReg,0.3717948717948718,0.0,0.0494880546075085,0.0,0.08734939759036138,0.0,0.2770000040695726,0.0,0.0206966713785349,0.0,0.22113909932817152,0.0,0.3897428248060117,0.0,0.0542110874938902,0.0,557.0,0.0,49.0,0.0
