dataset,model,RecallH_mean,PrecH_mean,F1H_mean,MacroF1_mean,Kappa_mean,Brier_mean,ECE_mean,PRAUC_High_mean,FP_High_mean,FN_High_mean,RecallH_sd,PrecH_sd,F1H_sd,MacroF1_sd,Kappa_sd,Brier_sd,ECE_sd,PRAUC_High_sd,FP_High_sd,FN_High_sd
CICIDS2017,BalancedRF,0.9900709219858156,0.986642681918936,0.9883501705492401,0.9928383482643911,0.9878723917261695,0.002904036475694445,0.010373652777777787,0.9991314507300932,20.8,15.4,0.0028324800304949894,0.0026170289482368683,0.0017084683331415815,0.00038238130946177613,0.0012412132916963406,0.00010180994414158149,0.0005671543032236717,0.00034401179325795604,4.147288270665544,4.39317652729776
CICIDS2017,KATS,0.9343649258542875,0.2696195212566858,0.4184379103836293,0.5411401741337531,0.286496249471869,0.14164594018520094,0.2436202543222258,0.8788496201248049,3928.8,101.8,0.0037149865353676174,0.007000460113624068,0.008279649984937519,0.009486859577409459,0.010838923186476416,0.0030678698211478927,0.00993764708685159,0.009889037945253653,144.21581050633802,5.761944116355173
CICIDS2017,LightGBM,0.9979368149580916,0.9933272107563036,0.9956254322235761,0.9957873715612159,0.9944523658399463,0.0008920003213655772,0.00096407765750792,0.9998252960187,10.4,3.2,0.002008047904886853,0.0013201500180636961,0.001153003892883996,0.0010951994044165994,0.0011205604969355696,0.00016953443704927152,0.0002064156981416391,9.096413962108607e-05,2.073644135332772,3.1144823004794873
CICIDS2017,LogReg,0.9685364281108961,0.7203684876484078,0.8261918752086391,0.8488160384995791,0.7780690257635129,0.03406074116533377,0.049170108537575544,0.9657780933889013,583.4,48.8,0.00472471204656641,0.009729664281220365,0.007103760733924157,0.0028003088729049684,0.005883594750674551,0.0006487167508177199,0.0015595544160785972,0.003510954958930796,27.933850432763478,7.328028384224504
CICIDS2017,MLP,0.9591231463571889,0.9815079952453178,0.9700870168560247,0.9659787444086371,0.9559157647242895,0.00673853045908116,0.0043809912245608195,0.9946489149126645,28.2,63.4,0.01627646772730497,0.007657292042584511,0.0067737294936522675,0.022825213808514676,0.02026831708225053,0.002887969149450351,0.001409061603048376,0.002310584931476475,12.255610959882823,25.244801445050026
CICIDS2017,NaiveBayes,0.0,0.0,0.0,0.3026000424744395,0.0,0.06678301448969035,0.026423955793944166,0.6270304537849943,0.0,1551.0,0.0,0.0,0.0,0.0,0.0,0.00047186728035544795,0.0014063865768135255,0.008815038548905346,0.0,0.0
CICIDS2017,RandomForest,0.9889103803997422,0.9966212565459877,0.9927497546659328,0.9937890736775316,0.9912084344425065,0.0013692622574974062,0.0017473391142556935,0.9996528872678587,5.2,17.2,0.002673944726412323,0.0014089814016339036,0.0018002232855245848,0.0004486417004924444,0.0010723543021190956,0.00015215959024458153,0.0003443871791652757,0.00017419671183262065,2.16794833886788,4.147288270665544
CICIDS2017,XGBoost,0.9961315280464216,0.9960060454865667,0.9960674844984532,0.9963273329302373,0.9951331656274418,0.0007816717575909514,0.0006003405186837954,0.9998614713264304,6.2,6.0,0.0013677113756026206,0.0016581025825090166,0.0008335093562748195,0.0009172426806795342,0.0008353641531017869,0.00010982565773359613,0.00013289064636403763,7.938242503813333e-05,2.588435821108957,2.1213203435596424
GoogleCluster,BalancedRF,0.9991774891774892,0.9984860467038278,0.99883161838349,0.9991115496972534,0.9986003103373445,0.0007582233333333334,0.003235777777777781,0.9999925044068672,7.0,3.8,0.0001810952438385498,0.0005065335960639702,0.0003278844854061913,0.00026575631526218915,0.0003930268194238686,9.762459468624864e-05,6.540041671251912e-05,4.137015443154201e-06,2.345207879911715,0.8366600265340756
GoogleCluster,KATS,0.9993506493506492,0.9986590290165547,0.999004684902894,0.9992238492852866,0.9988076318531295,0.0004169075131545818,0.0005660136307130282,0.9999783920047924,6.2,3.0,0.00026509629250901526,0.00035484421439534706,0.0002344462310562643,0.00017926458765004668,0.00028093993539828884,0.0001058599425298666,7.766720002606535e-05,2.7098359194257695e-05,1.6431676725154984,1.224744871391589
GoogleCluster,LightGBM,0.9991774891774892,0.9986588136672528,0.9989180158156797,0.9991605075300132,0.9986780116453173,0.0004832223813570484,0.0004474422998496671,0.9999640680655053,6.2,3.8,0.0003871979181817607,0.0002814018487595397,0.00017121559890316375,0.0001819866576714531,0.00024928628406150184,9.660702663092905e-05,9.911779809877978e-05,2.305644203052557e-05,1.30384048104053,1.7888543819998317
GoogleCluster,LogReg,0.9138528138528139,0.9065586444230341,0.9101626908180794,0.9144904083834111,0.8774454303282603,0.04142624589246015,0.029791829601050857,0.9680193307231398,435.4,398.0,0.007632747914504532,0.005445547270955293,0.0033702986728816548,0.003749850996925259,0.005172759205895074,0.0014684115949341072,0.001594975441191467,0.0014329928388192139,29.787581304966675,35.263295365010904
GoogleCluster,MLP,0.9952380952380953,0.9955002211538391,0.9953674791385838,0.9960517588840858,0.9939863567382801,0.002395366635909044,0.0020844586287768847,0.999382880439836,20.8,22.0,0.0017783199918999216,0.0019312862771139509,0.001174952234571793,0.0012817597403487113,0.0016622943572600724,0.0007380054934897818,0.0006735984047125361,0.00023633349409620146,8.983317872590282,8.215838362577491
GoogleCluster,NaiveBayes,0.8349350649350649,0.9197859283686001,0.8752710914043119,0.8618148920077624,0.8075719816067529,0.06256589187323551,0.026278532362838652,0.9247395562641865,337.0,762.6,0.003168612345483152,0.011428198304331472,0.0045305645090457,0.006262911962805349,0.008736851434080517,0.001761263202056,0.001858631432334433,0.003650894454211169,52.69250421075089,14.638989036132255
GoogleCluster,RandomForest,0.9994372294372293,0.9988753198943346,0.9991561274401597,0.9993611919785375,0.9989890616442588,0.0005571388888888889,0.0023132777777777657,0.9999953631016261,5.2,2.6,0.00011855466612667669,0.0004924050161330253,0.00020782958674391908,0.000172967579452318,0.00024929636052327815,6.622528606703406e-05,0.00011835898913322604,2.477844519866603e-06,2.2803508501982757,0.5477225575051662
GoogleCluster,XGBoost,0.9990043290043289,0.9983131013373194,0.998658495584001,0.998938661388201,0.998315151216812,0.000612829289797533,0.0008904692283596277,0.9999546067027936,7.8,4.6,0.00032826300623598197,0.0004676929427328133,0.0001963132960639228,0.00014602807285216037,0.0002424254441852808,9.056995598502811e-05,0.00010929810395582786,3.0110713884940692e-05,2.16794833886788,1.51657508881031
ITIncident,BalancedRF,0.6308823529411764,0.10846569907583951,0.1850341874671823,0.37310745373706683,0.1103920080970596,0.14755704852368232,0.2739293586377539,0.23216602634629227,705.8,50.2,0.030494766696070163,0.0020628383932477486,0.002342935973465228,0.005945995076709953,0.005790557869837658,0.0028950958242807408,0.00465506847439893,0.0325328770735791,43.87710108929258,4.147288270665544
ITIncident,KATS,0.9426470588235294,0.04290294579790363,0.08206600138601108,0.21915554090925032,0.03610905674472953,0.30506884020175595,0.4477012036283813,0.16274929749548,2862.4,7.8,0.024607647839237516,0.0013875626845912736,0.0025455932756080534,0.009507615626045232,0.0028478897948994125,0.007070198518206255,0.006132239925324669,0.025552570254024385,121.28396431515588,3.3466401061363023
ITIncident,LightGBM,0.7279411764705882,0.08849082669761651,0.15772959738250525,0.35856222028217094,0.10272168845567191,0.16359107492892266,0.2595526885898763,0.21921203342311943,1022.8,37.0,0.036395201972837,0.005660503971763302,0.009068643497179245,0.0076648696030272145,0.006050902118959888,0.005630070055776554,0.0069434044353978005,0.022707159131553842,76.53561262575742,4.949747468305834
ITIncident,LogReg,0.46029411764705885,0.045924487902738384,0.08349696135647222,0.2450518936271297,0.02940417569532252,0.2196362411120396,0.3949466776059257,0.04129374952985526,1299.2,73.4,0.04550514249048769,0.0027990479149474796,0.005251323613903787,0.014966915593011007,0.004098930881173033,0.0014383547133274132,0.0017627925322994144,0.001165166147189056,74.48288393986903,6.188699378706323
ITIncident,MLP,0.0,0.0,0.0,0.325021446240905,0.002609803894697871,0.0366456675121524,0.004441197360263449,0.06635540736668773,0.0,136.0,0.0,0.0,0.0,0.0038278814002917516,0.005835698916488142,0.0006319695134127041,0.002831359874720324,0.021034584377579633,0.0,0.0
ITIncident,NaiveBayes,0.0,0.0,0.0,0.32330956563673313,0.0,0.036821536465086076,0.0005516022732352866,0.04814549833935196,0.0,136.0,0.0,0.0,0.0,0.0,0.0,8.016369908141694e-05,0.0002149665998018182,0.002069691516640442,0.0,0.0
ITIncident,RandomForest,0.1514705882352941,0.36303854140632474,0.21315279941339327,0.43671892093916237,0.13108576462569618,0.0553322670204644,0.05825042817553981,0.21576526984962835,37.2,115.4,0.018455735879428153,0.07353592082250617,0.02995147982914596,0.016071953945362105,0.022970451989594003,0.0017399307454566393,0.002051675529036624,0.035920927697518826,9.01110426085505,2.5099800796022254
ITIncident,XGBoost,0.09705882352941177,0.6547985114300904,0.16879835487536946,0.44888626965140166,0.1799837979282705,0.0320681094257737,0.006140130395249103,0.2756420872997559,7.4,122.8,0.012082115239084538,0.14405334526910119,0.02287879081747229,0.018368297869597365,0.02778741145926171,0.00070688183254466,0.0012517057662528974,0.037737843176813744,4.03732584763727,1.6431676725154991
MultiCloud,BalancedRF,0.3282225237449118,0.31342451670627763,0.32020768843832226,0.3110867093976109,-0.03345820076002663,0.2334348333333333,0.09537666666666667,0.340405061949393,47.8,44.6,0.025459112085009415,0.008943269127271912,0.013290115250088205,0.03313778876338307,0.0493461374679768,0.003040497231242692,0.007434067602000351,0.021262721079843824,4.43846820423443,1.51657508881031
MultiCloud,KATS,0.4187245590230665,0.34855024419685887,0.3775690581312307,0.3617767454093529,0.04904264309538531,0.2207201084305522,0.044144567066040225,0.37833435903412316,51.8,38.6,0.09144482465826703,0.022367723597819154,0.045734732942196946,0.01782961275174683,0.022115826692258787,0.0023352626535367896,0.005261048534360727,0.028464927234021206,9.833615815151616,6.107372593840988
MultiCloud,LightGBM,0.33441881501582993,0.3103110583110583,0.3216620933873296,0.31156288761237383,-0.031944677109639975,0.27156230312646606,0.19277465681749262,0.3383022015549831,49.6,44.2,0.03994893305038462,0.04189169417431869,0.039637426169329824,0.024928012374721538,0.037489723778553335,0.0027579140730789303,0.011963499499991771,0.02660568784258711,5.2249401910452535,2.7748873851023217
MultiCloud,LogReg,0.4819990954319312,0.36052988147860215,0.41153440648817396,0.3549159798169781,0.04318081254240445,0.21960567216083046,0.034823412645240456,0.3770815818885878,56.6,34.4,0.07322002192011301,0.028429351767720306,0.04192348020990726,0.027120330231097674,0.041095289878793614,0.0027202648801455498,0.004712186884692385,0.030309096197769635,6.107372593840988,4.9295030175464944
MultiCloud,MLP,0.3697421981004071,0.3092659514674369,0.32794434394434396,0.3317237009053477,0.01406417418364585,0.22063834246473418,0.02506034326678146,0.35766711831763026,51.8,41.8,0.18527988116927238,0.07073001130162967,0.11535700356774406,0.057681955765231684,0.09070515951192887,0.0021856565914093224,0.017586237123517486,0.03841195014197129,18.51215816699933,12.11197754291181
MultiCloud,NaiveBayes,0.5478968792401628,0.35254490303924635,0.4258707705698,0.3432900360244474,0.04037053083993105,0.22065856215357588,0.029054492578963677,0.3570830473509097,67.8,30.0,0.07728854632931073,0.02364960857562998,0.016512499163786706,0.03949600678271874,0.04001244118627553,0.0026925590565807247,0.006218038824415733,0.019343695155357422,15.319921670818031,5.0
MultiCloud,RandomForest,0.34355495251017637,0.32134654234654236,0.33159974921416835,0.3182120212259928,-0.02129290070319114,0.23309911666666666,0.09190000000000001,0.3460018414199178,48.4,43.6,0.036282723073478115,0.03569524694174616,0.032716806358524815,0.028796518460016,0.04213475085995681,0.0049231626654576005,0.012586351735113705,0.017864107766212802,5.458937625582473,2.701851217221259
MultiCloud,XGBoost,0.3284486657620986,0.3152357183878923,0.3213663630440929,0.31827235548155935,-0.021579583106200496,0.2728167998605972,0.18660426069547736,0.31297204460990136,47.6,44.6,0.030762214220559643,0.03235143948244491,0.029778965310426373,0.03212142864140174,0.04835901597655354,0.004722644588404799,0.01748429623804933,0.015169984349232887,5.366563145999495,2.3021728866442674
