train_fraction,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
0.6,7,KATS,0.5,0.9708029197080292,0.03453648403012204,0.0667001003009027,0.15322233851203185,0.015697612475204847,0.3106795230197598,0.4546251763114859,0.10320316625620012,7436,8
0.6,7,LightGBM,0.5,0.6313868613138686,0.09177718832891246,0.1602593793422881,0.32338652728510575,0.04512246511050355,0.15942473259861223,0.2485936695907038,0.13720104071979178,1712,101
0.6,7,LogReg,0.5,0.41605839416058393,0.050442477876106194,0.08997632202052092,0.31373088385495074,0.02447486316894698,0.1932450538439198,0.3681641366326969,0.03993965574019473,2146,160
0.6,13,KATS,0.5,0.9781021897810219,0.03655708634565544,0.07047994740302432,0.14883499243267442,0.015360356153872212,0.3127279516290511,0.4561784854663838,0.09998985215421916,7063,6
0.6,13,LightGBM,0.5,0.6313868613138686,0.09177718832891246,0.1602593793422881,0.32338652728510575,0.04512246511050355,0.15942473259861223,0.2485936695907038,0.13720104071979178,1712,101
0.6,13,LogReg,0.5,0.41605839416058393,0.050442477876106194,0.08997632202052092,0.31373088385495074,0.02447486316894698,0.1932450538439198,0.3681641366326969,0.03993965574019473,2146,160
0.6,42,KATS,0.5,0.9854014598540146,0.0377253038982814,0.07266855066612839,0.16359401040454366,0.01970052697095581,0.31233593303900364,0.4563200275630191,0.10587310960294004,6887,4
0.6,42,LightGBM,0.5,0.6313868613138686,0.09177718832891246,0.1602593793422881,0.32338652728510575,0.04512246511050355,0.15942473259861223,0.2485936695907038,0.13720104071979178,1712,101
0.6,42,LogReg,0.5,0.41605839416058393,0.050442477876106194,0.08997632202052092,0.31373088385495074,0.02447486316894698,0.1932450538439198,0.3681641366326969,0.03993965574019473,2146,160
0.7,7,KATS,0.5,0.9323671497584541,0.04331238779174147,0.08277932661376797,0.22895413235809292,0.024021386406939627,0.30205028239019716,0.4434874440082428,0.1037045107933859,4263,14
0.7,7,LightGBM,0.5,0.6859903381642513,0.08523409363745499,0.15162840363053925,0.3740602339627967,0.10994412130446729,0.16354158837450655,0.25689140227808993,0.1606223290816214,1524,65
0.7,7,LogReg,0.5,0.43478260869565216,0.05013927576601671,0.0899100899100899,0.30979719432759095,0.022353583137220467,0.19832264320906842,0.37022936785579147,0.0408463785610835,1705,117
0.7,13,KATS,0.5,0.9565217391304348,0.039831019915509955,0.07647740440324449,0.21151735241459366,0.022378453155192712,0.3033210420168846,0.4457884706317469,0.10203024890215051,4773,9
0.7,13,LightGBM,0.5,0.6859903381642513,0.08523409363745499,0.15162840363053925,0.3740602339627967,0.10994412130446729,0.16354158837450655,0.25689140227808993,0.1606223290816214,1524,65
0.7,13,LogReg,0.5,0.43478260869565216,0.05013927576601671,0.0899100899100899,0.30979719432759095,0.022353583137220467,0.19832264320906842,0.37022936785579147,0.0408463785610835,1705,117
0.7,42,KATS,0.5,0.9420289855072463,0.044837893768682455,0.08560140474100088,0.2257388405776294,0.0149236830760332,0.297689327151794,0.43996651148423876,0.10240918015917698,4154,12
0.7,42,LightGBM,0.5,0.6859903381642513,0.08523409363745499,0.15162840363053925,0.3740602339627967,0.10994412130446729,0.16354158837450655,0.25689140227808993,0.1606223290816214,1524,65
0.7,42,LogReg,0.5,0.43478260869565216,0.05013927576601671,0.0899100899100899,0.30979719432759095,0.022353583137220467,0.19832264320906842,0.37022936785579147,0.0408463785610835,1705,117
0.8,7,KATS,0.5,0.9492753623188406,0.04697024022947293,0.08951144516569867,0.2213032260748403,0.023960914735863925,0.30361978036354836,0.44862519500118786,0.12036286425904952,2658,7
