seed,model,train_n,test_n,groups_train,groups_test,RecallH,PrecH,F1H,MacroF1,Kappa
7,KATS,47025,12975,1865,467,0.9923987979494432,0.9586748633879781,0.9752453747937114,0.9782413842965051,0.9661097759243409
7,LightGBM,47025,12975,1865,467,0.9934594307937069,0.9583901773533424,0.975609756097561,0.9785490548678489,0.9665800914608157
7,RandomForest,47025,12975,1865,467,0.8327735548877497,0.9501815248083905,0.8876118699952897,0.9137761568904851,0.8602626065554413
13,KATS,51546,8454,1865,467,0.9706672175170419,0.9690657867601568,0.9698658410732715,0.9529516622248438,0.9380770997010499
13,LightGBM,51546,8454,1865,467,0.9712869241892171,0.9686856201071281,0.9699845281072718,0.9535894347820614,0.9382584835375005
13,RandomForest,51546,8454,1865,467,0.9512497417888865,0.9670306593868123,0.9590752889721962,0.9329447387518708,0.917437746226425
42,KATS,49944,10056,1865,467,0.9752555137170522,0.983989145183175,0.9796028637039038,0.9840239359728061,0.9764697278343047
42,LightGBM,49944,10056,1865,467,0.9800968262506724,0.982740021574973,0.9814166442230002,0.985686817965277,0.9784593054319443
42,RandomForest,49944,10056,1865,467,0.9760623991393222,0.9729222520107239,0.9744897959183674,0.9794983345329388,0.9704557122289124
