dataset,seed,variant,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
ITIncident,42,T_Full,0.5,0.9411764705882353,0.044398196323274366,0.0847962901623054,0.23156291863466105,0.04006124924151433,0.3070958653660409,0.4486899605593326,0.14997994701332915,2755,8
ITIncident,42,T_NoSMOTE,0.5,0.9852941176470589,0.04100367197062423,0.07873090481786134,0.19455684094267559,0.031778188106817096,0.3140403538702103,0.45635946999603333,0.2758736852937091,3134,2
ITIncident,42,T_NoAsymLoss,0.3500000000000001,0.13970588235294118,0.5428571428571428,0.2222222222222222,0.40601062647868685,0.11951893706587446,0.03381667088226843,0.006285847672654974,0.20264861629769634,16,117
ITIncident,42,T_NoCalibNB,0.5,0.9338235294117647,0.04476559746210786,0.08543558694920955,0.23658688902637945,0.041959113063182785,0.2979399202154261,0.4403733152262353,0.16132193351878374,2710,9
ITIncident,42,T_NoStacking,0.5,0.7573529411764706,0.06697009102730819,0.12305854241338113,0.24669289454479068,0.04798420931323033,0.3283210069297543,0.39268127561594773,0.15199183117418474,1435,33
ITIncident,7,T_Full,0.5,0.9044117647058824,0.0430672268907563,0.08221925133689839,0.22483827587138935,0.035401280631649934,0.2925611992671731,0.4371949539575198,0.15686196597254232,2733,13
ITIncident,7,T_NoSMOTE,0.5,0.9338235294117647,0.043717728055077454,0.08352515619861887,0.22523925145698606,0.037084130000256454,0.2977385440208368,0.4429838183323132,0.2177635584177992,2778,9
ITIncident,7,T_NoAsymLoss,0.5000000000000001,0.07352941176470588,0.625,0.13157894736842105,0.3715976116433782,0.06700510670941229,0.03459142362618708,0.005044332515098223,0.20543716505085227,6,126
ITIncident,7,T_NoCalibNB,0.5,0.9338235294117647,0.040888602704443014,0.0783466995681678,0.20328687610619492,0.02986503492486392,0.3095524008634974,0.45131604091357547,0.15805580655785526,2979,9
ITIncident,7,T_NoStacking,0.5,0.7573529411764706,0.07452966714905933,0.13570487483530963,0.2573955688346871,0.053030505417550944,0.31657539441410143,0.38377565351650206,0.1426557088858568,1279,33
ITIncident,13,T_Full,0.5,0.9411764705882353,0.041666666666666664,0.0798004987531172,0.20991544783910207,0.032202592790283924,0.3073638076241106,0.44863875953221677,0.14701164618600845,2944,8
